Mth,BU,Tier,Site,Handled,Pres,Ext,Acc,Count
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo,,,14
202501,Broadband,Bronze,Bangalore,4524,Bundle-Promo,,,28
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Discount-Upgrade|Cashback-Retention,Discount-Upgrade|Cashback-Retention|Discount-Promo,,34
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special,Speed-Boost-Special,Speed-Boost-Special,30
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Welcome,,,14
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Cashback-Special|Speed-Boost-Retention,,,38
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Discount-Welcome|Speed-Boost-Retention,,,13
202501,Broadband,Bronze,Bangalore,4524,Bundle-Retention|Bundle-Promo|Loyalty-Retention,,,15
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special|Cashback-Retention,,,24
202501,Broadband,Bronze,Bangalore,4524,Discount-Upgrade|Loyalty-Retention,,,49
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Speed-Boost-Welcome,Discount-Promo|Speed-Boost-Welcome,,6
202501,Broadband,Bronze,Bangalore,4524,Discount-Special|Cashback-Upgrade,,,19
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Discount-Upgrade|Cashback-Retention,Cashback-Retention|Discount-Upgrade|Speed-Boost-Promo,,14
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special|Speed-Boost-Welcome|Bundle-Retention,Speed-Boost-Welcome,,21
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Loyalty-Welcome,Loyalty-Promo,,46
202501,Broadband,Bronze,Bangalore,4524,Cashback-Retention|Loyalty-Welcome,,,46
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Bundle-Special,,,16
202501,Broadband,Bronze,Bangalore,4524,Bundle-Retention,,,18
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special,,,21
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Speed-Boost-Welcome,,,16
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Bundle-Welcome|Cashback-Welcome,Cashback-Welcome|Cashback-Special,Cashback-Special,28
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Discount-Welcome,,,30
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Welcome,,,5
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Upgrade,,,41
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Discount-Retention,,,16
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special,,,11
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Speed-Boost-Promo|Cashback-Welcome,Speed-Boost-Special,,22
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome|Loyalty-Retention|Bundle-Welcome,,,47
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Speed-Boost-Welcome|Discount-Upgrade,,,11
202501,Broadband,Bronze,Bangalore,4524,Bundle-Promo|Discount-Welcome|Loyalty-Welcome,,,40
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome|Cashback-Upgrade,,,15
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special|Loyalty-Special,,,10
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo,,,42
202501,Broadband,Bronze,Bangalore,4524,Cashback-Promo|Discount-Retention|Speed-Boost-Retention,Speed-Boost-Retention|Discount-Retention,,41
202501,Broadband,Bronze,Bangalore,4524,Discount-Special,Discount-Special,Discount-Special,11
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome,,,29
202501,Broadband,Bronze,Bangalore,4524,Cashback-Promo|Cashback-Retention|Speed-Boost-Retention,,,33
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special|Discount-Promo,Bundle-Special,Bundle-Special,18
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Bundle-Retention,,,36
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special,Loyalty-Special,,12
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Bundle-Special,,,38
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Loyalty-Welcome,,,31
202501,Broadband,Bronze,Bangalore,4524,Cashback-Promo|Loyalty-Retention|Discount-Special,,,8
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome,,,42
202501,Broadband,Bronze,Bangalore,4524,Bundle-Upgrade|Cashback-Upgrade,,,34
202501,Broadband,Bronze,Bangalore,4524,Cashback-Promo|Discount-Upgrade|Cashback-Welcome,,,7
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Bundle-Promo|Discount-Special,,,49
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special|Discount-Retention,Loyalty-Special|Discount-Retention,Discount-Retention,22
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Welcome,,,46
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Loyalty-Welcome,Loyalty-Welcome,,36
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special,,,49
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome|Discount-Special,,,33
202501,Broadband,Bronze,Bangalore,4524,Bundle-Promo,Bundle-Promo,,42
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Upgrade,,,20
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Discount-Promo|Cashback-Welcome,Cashback-Welcome|Loyalty-Promo|Discount-Promo,Cashback-Welcome,16
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Bundle-Welcome,Speed-Boost-Promo,Speed-Boost-Promo,40
202501,Broadband,Bronze,Bangalore,4524,Cashback-Retention,,,31
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Bundle-Promo,,,42
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Speed-Boost-Special,,,31
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo,,,41
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Retention|Speed-Boost-Retention,,,31
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome,Speed-Boost-Welcome,Speed-Boost-Welcome,7
202501,Broadband,Bronze,Bangalore,4524,Discount-Upgrade,Discount-Upgrade,,14
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Loyalty-Special|Cashback-Promo,Loyalty-Special,,14
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Cashback-Promo,,,21
202501,Broadband,Bronze,Bangalore,4524,Discount-Upgrade,,,8
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Bundle-Retention,,,10
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Speed-Boost-Promo|Cashback-Special,,,30
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special|Loyalty-Upgrade,Bundle-Special|Loyalty-Upgrade,Bundle-Special,42
202501,Broadband,Bronze,Bangalore,4524,Discount-Upgrade|Cashback-Welcome,,,8
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Discount-Special,Loyalty-Promo,,27
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome|Discount-Special,Discount-Special|Speed-Boost-Welcome,,19
202501,Broadband,Bronze,Bangalore,4524,Cashback-Retention|Discount-Upgrade|Loyalty-Welcome,Cashback-Retention|Loyalty-Welcome,,17
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special|Discount-Special,,,38
202501,Broadband,Bronze,Bangalore,4524,Bundle-Promo,,,49
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Speed-Boost-Retention,,,9
202501,Broadband,Bronze,Bangalore,4524,Discount-Upgrade|Bundle-Retention,Discount-Upgrade|Bundle-Retention,,41
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Welcome|Discount-Special,,,11
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Bundle-Welcome|Cashback-Welcome,Bundle-Welcome|Cashback-Welcome|Speed-Boost-Special,,43
202501,Broadband,Bronze,Bangalore,4524,Cashback-Welcome,,,45
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special,,,48
202501,Broadband,Bronze,Bangalore,4524,Bundle-Upgrade,,,37
202501,Broadband,Bronze,Bangalore,4524,Bundle-Retention|Loyalty-Welcome,,,32
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Loyalty-Retention|Discount-Welcome,,,35
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome,,,45
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Speed-Boost-Promo|Cashback-Promo,,,17
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Speed-Boost-Upgrade|Cashback-Upgrade,Cashback-Upgrade,Cashback-Upgrade,6
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Bundle-Retention,Speed-Boost-Promo|Bundle-Retention,,37
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome|Discount-Special,,,25
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade,,,19
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special,Bundle-Special,,35
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome|Loyalty-Upgrade,,,23
202501,Broadband,Bronze,Bangalore,4524,Cashback-Upgrade,Cashback-Upgrade,,9
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Discount-Upgrade,Discount-Upgrade,,15
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Bundle-Upgrade|Loyalty-Upgrade,Bundle-Upgrade,,48
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade,Speed-Boost-Upgrade,,34
202501,Broadband,Bronze,Bangalore,4524,Discount-Upgrade|Speed-Boost-Retention,Speed-Boost-Retention,,30
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Discount-Retention|Speed-Boost-Retention,,,20
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Cashback-Upgrade,,,43
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Discount-Special,,,5
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Speed-Boost-Welcome|Speed-Boost-Special,,,32
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Retention,,,12
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Discount-Upgrade|Discount-Retention,,,16
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo,Loyalty-Promo,,50
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome,Bundle-Welcome,,10
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special|Discount-Promo|Bundle-Promo,Bundle-Special|Discount-Promo,,5
202501,Broadband,Bronze,Bangalore,4524,Bundle-Retention,,,44
202501,Broadband,Bronze,Bangalore,4524,Cashback-Retention|Discount-Special,Discount-Special|Cashback-Retention,Discount-Special,14
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Loyalty-Special|Bundle-Special,,,9
202501,Broadband,Bronze,Bangalore,4524,Bundle-Retention,,,21
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Cashback-Special,Cashback-Special,,31
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo,,,40
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special|Bundle-Upgrade|Loyalty-Upgrade,Loyalty-Special|Bundle-Upgrade|Loyalty-Upgrade,,43
202501,Broadband,Bronze,Bangalore,4524,Discount-Welcome,,,25
202501,Broadband,Bronze,Bangalore,4524,Cashback-Welcome,,,33
202501,Broadband,Bronze,Bangalore,4524,Cashback-Upgrade,,,7
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Welcome|Cashback-Retention,Loyalty-Welcome|Cashback-Retention,,17
202501,Broadband,Bronze,Bangalore,4524,Discount-Upgrade,Discount-Upgrade,,38
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special,,,28
202501,Broadband,Bronze,Bangalore,4524,Cashback-Upgrade,,,33
202501,Broadband,Bronze,Bangalore,4524,Bundle-Promo|Loyalty-Retention,Loyalty-Retention,,40
202501,Broadband,Bronze,Bangalore,4524,Cashback-Retention|Cashback-Upgrade,,,14
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Speed-Boost-Retention,Speed-Boost-Retention,,47
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Bundle-Upgrade|Speed-Boost-Welcome,Speed-Boost-Promo|Speed-Boost-Welcome,Speed-Boost-Promo|Speed-Boost-Welcome,5
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Cashback-Retention,,,41
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Discount-Welcome|Discount-Retention,,,22
202501,Broadband,Bronze,Bangalore,4524,Bundle-Retention|Discount-Retention,,,36
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Discount-Special|Speed-Boost-Retention,,,46
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Bundle-Welcome,,,40
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome|Bundle-Promo|Cashback-Upgrade,,,30
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special,,,8
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Cashback-Retention,Cashback-Retention,Cashback-Retention,42
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome,,,23
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Bundle-Welcome,,,12
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special,Cashback-Special,,21
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Discount-Promo|Discount-Retention,Discount-Retention|Discount-Promo|Speed-Boost-Special,,15
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Cashback-Welcome,,,50
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special|Bundle-Retention,Loyalty-Special|Bundle-Retention,,7
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Loyalty-Special|Speed-Boost-Special,,,5
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome|Cashback-Retention,,,34
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Retention|Discount-Special,Discount-Special|Loyalty-Retention,,24
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Upgrade|Cashback-Upgrade,,,29
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special|Cashback-Upgrade,,,38
202501,Broadband,Bronze,Bangalore,4524,Bundle-Upgrade|Loyalty-Upgrade,,,36
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Loyalty-Upgrade,,,25
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Bundle-Upgrade|Cashback-Upgrade,,,37
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Loyalty-Retention|Discount-Upgrade,,,11
202501,Broadband,Bronze,Bangalore,4524,Bundle-Retention|Discount-Retention,,,23
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Speed-Boost-Upgrade,Speed-Boost-Upgrade|Speed-Boost-Special,,35
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Speed-Boost-Retention,,,46
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Cashback-Retention|Speed-Boost-Retention,,,15
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special|Discount-Welcome,,,37
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Discount-Retention,,,28
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special,Loyalty-Special,,23
202501,Broadband,Bronze,Bangalore,4524,Discount-Upgrade,Discount-Upgrade,,23
202501,Broadband,Bronze,Bangalore,4524,Bundle-Promo,Bundle-Promo,,34
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Speed-Boost-Promo|Cashback-Retention,,,18
202501,Broadband,Bronze,Bangalore,4524,Bundle-Promo|Cashback-Retention,Bundle-Promo|Cashback-Retention,,26
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome|Loyalty-Welcome,Loyalty-Welcome,,14
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Retention,Loyalty-Retention,Loyalty-Retention,27
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special|Speed-Boost-Retention,,,31
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special,,,48
202501,Broadband,Bronze,Chennai,2313,Cashback-Welcome,Cashback-Welcome,,50
202501,Broadband,Bronze,Chennai,2313,Discount-Special,,,47
202501,Broadband,Bronze,Chennai,2313,Bundle-Welcome|Discount-Welcome|Bundle-Retention,,,50
202501,Broadband,Bronze,Chennai,2313,Speed-Boost-Upgrade,Speed-Boost-Upgrade,,34
202501,Broadband,Bronze,Chennai,2313,Bundle-Promo,,,23
202501,Broadband,Bronze,Chennai,2313,Discount-Welcome,Discount-Welcome,,45
202501,Broadband,Bronze,Chennai,2313,Discount-Upgrade|Discount-Special,,,14
202501,Broadband,Bronze,Chennai,2313,Speed-Boost-Promo|Speed-Boost-Retention,,,14
202501,Broadband,Bronze,Chennai,2313,Loyalty-Welcome,,,42
202501,Broadband,Bronze,Chennai,2313,Bundle-Retention|Bundle-Upgrade|Loyalty-Welcome,,,20
202501,Broadband,Bronze,Chennai,2313,Bundle-Upgrade|Loyalty-Welcome,,,21
202501,Broadband,Bronze,Chennai,2313,Speed-Boost-Welcome|Loyalty-Welcome,Speed-Boost-Welcome|Loyalty-Welcome,Speed-Boost-Welcome|Loyalty-Welcome,21
202501,Broadband,Bronze,Chennai,2313,Loyalty-Upgrade,,,26
202501,Broadband,Bronze,Chennai,2313,Cashback-Welcome|Discount-Special,,,12
202501,Broadband,Bronze,Chennai,2313,Cashback-Special,,,29
202501,Broadband,Bronze,Chennai,2313,Loyalty-Special,,,47
202501,Broadband,Bronze,Chennai,2313,Loyalty-Welcome,Loyalty-Welcome,,44
202501,Broadband,Bronze,Chennai,2313,Bundle-Promo,,,36
202501,Broadband,Bronze,Chennai,2313,Speed-Boost-Special,Speed-Boost-Special,,36
202501,Broadband,Bronze,Chennai,2313,Bundle-Welcome|Speed-Boost-Promo|Loyalty-Welcome,Loyalty-Welcome|Speed-Boost-Promo,,38
202501,Broadband,Bronze,Chennai,2313,Cashback-Retention,,,12
202501,Broadband,Bronze,Chennai,2313,Discount-Upgrade|Discount-Welcome,,,16
202501,Broadband,Bronze,Chennai,2313,Cashback-Special,,,14
202501,Broadband,Bronze,Chennai,2313,Speed-Boost-Promo|Bundle-Retention|Discount-Retention,Bundle-Retention,Bundle-Retention,6
202501,Broadband,Bronze,Chennai,2313,Bundle-Promo,,,17
202501,Broadband,Bronze,Chennai,2313,Bundle-Upgrade|Bundle-Retention,Bundle-Retention,,35
202501,Broadband,Bronze,Chennai,2313,Discount-Upgrade,,,14
202501,Broadband,Bronze,Chennai,2313,Bundle-Promo|Discount-Upgrade,Discount-Upgrade|Bundle-Promo,,23
202501,Broadband,Bronze,Chennai,2313,Speed-Boost-Special|Discount-Promo|Cashback-Welcome,Cashback-Welcome,,25
202501,Broadband,Bronze,Chennai,2313,Discount-Special,,,13
202501,Broadband,Bronze,Chennai,2313,Speed-Boost-Retention|Speed-Boost-Welcome|Cashback-Upgrade,,,19
202501,Broadband,Bronze,Chennai,2313,Bundle-Special|Loyalty-Welcome,,,33
202501,Broadband,Bronze,Chennai,2313,Discount-Promo|Speed-Boost-Promo|Cashback-Upgrade,,,21
202501,Broadband,Bronze,Chennai,2313,Discount-Upgrade|Loyalty-Welcome|Discount-Special,Loyalty-Welcome|Discount-Upgrade,,5
202501,Broadband,Bronze,Chennai,2313,Loyalty-Special,,,37
202501,Broadband,Bronze,Chennai,2313,Speed-Boost-Welcome|Discount-Welcome|Cashback-Upgrade,,,7
202501,Broadband,Bronze,Chennai,2313,Discount-Welcome|Cashback-Promo,,,40
