month,bu,tier,site,calls_handled,offers_present,offers_extended,offers_accepted,calls
2026-02,CPS,Tier A,Location 1,97,Offer A|Offer C|Offer E|Offer H|Offer I|Offer J,Offer A|Offer C|Offer E|Offer H|Offer I|Offer J,Offer A|Offer C|Offer E|Offer I,17
2026-02,CPS,Tier A,Location 1,187,Offer A|Offer D|Offer E|Offer G|Offer H|Offer J,Offer A|Offer D|Offer E,Offer A|Offer D,2
2026-02,CPS,Tier A,Location 1,286,Offer A|Offer D|Offer E|Offer H,Offer A|Offer D|Offer E|Offer H,Offer D,22
2026-02,CPS,Tier A,Location 1,97,Offer A|Offer D|Offer E|Offer J,Offer E,Offer E,29
2026-02,CPS,Tier A,Location 1,376,Offer A|Offer D|Offer J,Offer D|Offer J,,132
2026-02,CPS,Tier A,Location 1,390,Offer A|Offer F,Offer F,Offer F,130
2026-02,CPS,Tier A,Location 1,364,Offer A|Offer I|Offer J,Offer I|Offer J,,129
2026-02,CPS,Tier A,Location 1,376,Offer B|Offer C|Offer D|Offer F|Offer G,Offer B|Offer D|Offer F|Offer G,,71
2026-02,CPS,Tier A,Location 1,227,Offer B|Offer C|Offer D|Offer G|Offer H|Offer I,Offer B|Offer C|Offer D|Offer G|Offer H|Offer I,,115
2026-02,CPS,Tier A,Location 1,74,Offer B|Offer C|Offer D|Offer G|Offer H|Offer I|Offer J,Offer B|Offer J,Offer B|Offer J,20
2026-02,CPS,Tier A,Location 1,319,Offer B|Offer C|Offer E|Offer F|Offer G|Offer H,Offer B|Offer E|Offer F,Offer B|Offer E|Offer F,40
2026-02,CPS,Tier A,Location 1,263,Offer B|Offer C|Offer E|Offer F|Offer H|Offer I|Offer J,Offer B|Offer F|Offer H,,189
2026-02,CPS,Tier A,Location 1,376,Offer B|Offer C|Offer E|Offer F|Offer H|Offer J,Offer B|Offer E|Offer F,Offer B|Offer E|Offer F,2
2026-02,CPS,Tier A,Location 1,193,Offer B|Offer C|Offer F|Offer G|Offer H|Offer J,,,94
2026-02,CPS,Tier A,Location 1,286,Offer B|Offer C|Offer F|Offer G|Offer J,Offer G|Offer J,Offer G,35
2026-02,CPS,Tier A,Location 1,227,Offer B|Offer C|Offer I,Offer C,Offer C,38
2026-02,CPS,Tier A,Location 1,376,Offer B|Offer C|Offer J,Offer B|Offer C|Offer J,Offer B,95
2026-02,CPS,Tier A,Location 1,97,Offer B|Offer D|Offer E,Offer B,,29
2026-02,CPS,Tier A,Location 1,286,Offer B|Offer D|Offer E|Offer F,Offer B|Offer D|Offer E|Offer F,Offer B|Offer E|Offer F,135
2026-02,CPS,Tier A,Location 1,188,Offer B|Offer D|Offer G|Offer H|Offer I|Offer J,Offer B|Offer D|Offer G|Offer H|Offer I|Offer J,Offer B|Offer D|Offer G|Offer H|Offer I|Offer J,165
2026-02,CPS,Tier A,Location 1,193,Offer B|Offer D|Offer G|Offer J,Offer D,,12
2026-02,CPS,Tier A,Location 1,254,Offer B|Offer E,,,36
2026-02,CPS,Tier A,Location 1,430,Offer B|Offer E|Offer F|Offer G|Offer H|Offer I|Offer J,,,430
2026-02,CPS,Tier A,Location 1,298,Offer B|Offer E|Offer I,Offer E,Offer E,81
2026-02,CPS,Tier A,Location 1,402,Offer B|Offer F,Offer F,Offer F,402
2026-02,CPS,Tier A,Location 1,449,Offer B|Offer F|Offer G|Offer H|Offer J,Offer B|Offer F|Offer G|Offer H|Offer J,Offer B|Offer F|Offer G|Offer J,449
2026-02,CPS,Tier A,Location 1,319,Offer B|Offer F|Offer G|Offer I,Offer I,Offer I,34
2026-02,CPS,Tier A,Location 1,298,Offer B|Offer H,,,66
2026-02,CPS,Tier A,Location 1,97,Offer B|Offer H|Offer J,Offer H|Offer J,Offer H|Offer J,9
2026-02,CPS,Tier A,Location 1,370,Offer C,,,370
2026-02,CPS,Tier A,Location 1,390,Offer C,Offer C,Offer C,115
2026-02,CPS,Tier A,Location 1,364,Offer C|Offer D|Offer E|Offer F|Offer H|Offer I|Offer J,Offer C|Offer D|Offer E|Offer F|Offer H,Offer D|Offer F,46
2026-02,CPS,Tier A,Location 1,257,Offer C|Offer D|Offer E|Offer F|Offer I|Offer J,Offer C|Offer D,Offer D,7
2026-02,CPS,Tier A,Location 1,375,Offer C|Offer D|Offer E|Offer F|Offer I|Offer J,Offer D|Offer E|Offer F|Offer I|Offer J,Offer D,273
2026-02,CPS,Tier A,Location 1,411,Offer C|Offer D|Offer E|Offer G,Offer C,Offer C,27
2026-02,CPS,Tier A,Location 1,96,Offer C|Offer D|Offer G|Offer I|Offer J,,,37
2026-02,CPS,Tier A,Location 1,74,Offer C|Offer E|Offer G|Offer H,Offer C|Offer H,Offer C|Offer H,24
2026-02,CPS,Tier A,Location 1,286,Offer C|Offer E|Offer H|Offer I,Offer C,Offer C,94
2026-02,CPS,Tier A,Location 1,254,Offer C|Offer E|Offer I,Offer C|Offer E|Offer I,,29
2026-02,CPS,Tier A,Location 1,96,Offer C|Offer F,Offer F,Offer F,14
2026-02,CPS,Tier A,Location 1,298,Offer C|Offer F|Offer G|Offer H|Offer J,Offer C|Offer F|Offer G|Offer H,Offer C|Offer F|Offer G,79
2026-02,CPS,Tier A,Location 1,188,Offer C|Offer H|Offer J,Offer C|Offer H|Offer J,,23
2026-02,CPS,Tier A,Location 1,298,Offer C|Offer H|Offer J,Offer J,,24
2026-02,CPS,Tier A,Location 1,74,Offer C|Offer I,Offer I,,12
2026-02,CPS,Tier A,Location 1,166,Offer D,,,30
2026-02,CPS,Tier A,Location 1,166,Offer D|Offer E,Offer D|Offer E,,35
2026-02,CPS,Tier A,Location 1,257,Offer D|Offer F|Offer J,Offer D|Offer F|Offer J,Offer D|Offer F,248
2026-02,CPS,Tier A,Location 1,195,Offer D|Offer G|Offer H,,,6
2026-02,CPS,Tier A,Location 1,166,Offer D|Offer G|Offer H,Offer D|Offer H,Offer D|Offer H,11
2026-02,CPS,Tier A,Location 1,411,Offer D|Offer G|Offer H|Offer I,Offer G,,384
2026-02,CPS,Tier A,Location 1,74,Offer D|Offer G|Offer J,Offer D|Offer G|Offer J,Offer G,18
2026-02,CPS,Tier A,Location 1,187,Offer E,Offer E,Offer E,35
2026-02,CPS,Tier A,Location 1,254,Offer E|Offer F|Offer H|Offer I|Offer J,Offer E|Offer I|Offer J,,177
2026-02,CPS,Tier A,Location 1,227,Offer E|Offer J,Offer E|Offer J,,1
2026-02,CPS,Tier A,Location 1,166,Offer F,Offer F,,19
2026-02,CPS,Tier A,Location 1,195,Offer F|Offer G,Offer G,,78
2026-02,CPS,Tier A,Location 1,316,Offer F|Offer G|Offer H|Offer J,,,316
2026-02,CPS,Tier A,Location 1,375,Offer I,,,102
2026-02,CPS,Tier A,Location 1,364,Offer I,Offer I,,105
2026-02,CPS,Tier A,Location 1,166,Offer I,Offer I,Offer I,71
2026-02,CPS,Tier A,Location 1,319,Offer J,,,245
2026-02,CPS,Tier A,Location 2,252,Offer A,,,138
2026-02,CPS,Tier A,Location 2,478,Offer A,Offer A,,178
2026-02,CPS,Tier A,Location 2,203,Offer A,Offer A,Offer A,101
2026-02,CPS,Tier A,Location 2,319,Offer A|Offer B|Offer C|Offer D,Offer B,,28
2026-02,CPS,Tier A,Location 2,158,Offer A|Offer B|Offer C|Offer D|Offer E|Offer G|Offer J,Offer A|Offer B|Offer C|Offer D|Offer E|Offer G|Offer J,Offer A|Offer D|Offer E|Offer G,2
2026-02,CPS,Tier A,Location 2,129,Offer A|Offer B|Offer C|Offer D|Offer F|Offer G,,,11
2026-02,CPS,Tier A,Location 2,391,Offer A|Offer B|Offer C|Offer D|Offer F|Offer G|Offer I,Offer A|Offer B|Offer C|Offer D|Offer F,Offer D,338
2026-02,CPS,Tier A,Location 2,252,Offer A|Offer B|Offer C|Offer D|Offer F|Offer J,Offer A|Offer C,Offer A|Offer C,35
2026-02,CPS,Tier A,Location 2,304,Offer A|Offer B|Offer C|Offer D|Offer I|Offer J,Offer J,,279
2026-02,CPS,Tier A,Location 2,158,Offer A|Offer B|Offer C|Offer F,Offer C,Offer C,127
2026-02,CPS,Tier A,Location 2,375,Offer A|Offer B|Offer C|Offer G|Offer H|Offer J,Offer B|Offer G|Offer J,Offer B|Offer G|Offer J,375
2026-02,CPS,Tier A,Location 2,252,Offer A|Offer B|Offer D|Offer E|Offer G|Offer I,Offer I,Offer I,13
2026-02,CPS,Tier A,Location 2,145,Offer A|Offer B|Offer D|Offer E|Offer H|Offer I|Offer J,Offer D,,40
2026-02,CPS,Tier A,Location 2,82,Offer A|Offer B|Offer D|Offer G|Offer I,Offer I,Offer I,41
2026-02,CPS,Tier A,Location 2,343,Offer A|Offer B|Offer D|Offer H|Offer I,,,73
2026-02,CPS,Tier A,Location 2,209,Offer A|Offer B|Offer D|Offer H|Offer I,Offer B|Offer H|Offer I,Offer B|Offer I,71
2026-02,CPS,Tier A,Location 2,304,Offer A|Offer B|Offer E|Offer F|Offer G|Offer H|Offer I,Offer B|Offer E|Offer F|Offer G|Offer H,Offer B|Offer E|Offer F|Offer G|Offer H,12
2026-02,CPS,Tier A,Location 2,82,Offer A|Offer B|Offer E|Offer F|Offer G|Offer H|Offer J,Offer B|Offer F,Offer B,41
2026-02,CPS,Tier A,Location 2,350,Offer A|Offer B|Offer E|Offer F|Offer H|Offer J,Offer A|Offer B|Offer E|Offer F|Offer H|Offer J,Offer A|Offer B|Offer E|Offer F|Offer J,89
2026-02,CPS,Tier A,Location 2,350,Offer A|Offer B|Offer F|Offer G|Offer I|Offer J,Offer A|Offer B|Offer F|Offer G|Offer I|Offer J,Offer A|Offer B|Offer F|Offer G|Offer I|Offer J,16
2026-02,CPS,Tier A,Location 2,359,Offer A|Offer C,,,51
2026-02,CPS,Tier A,Location 2,129,Offer A|Offer C|Offer D|Offer E|Offer F|Offer G|Offer H,Offer A|Offer C|Offer D|Offer E|Offer F|Offer G|Offer H,Offer A|Offer D|Offer G,3
2026-02,CPS,Tier A,Location 2,304,Offer A|Offer C|Offer D|Offer E|Offer G|Offer H|Offer I,Offer A|Offer C|Offer H,,4
2026-02,CPS,Tier A,Location 2,319,Offer A|Offer C|Offer D|Offer E|Offer G|Offer I|Offer J,Offer A|Offer C|Offer G|Offer I|Offer J,Offer G|Offer J,17
2026-02,CPS,Tier A,Location 2,102,Offer A|Offer C|Offer D|Offer E|Offer H|Offer I|Offer J,Offer A|Offer H,Offer H,20
2026-02,CPS,Tier A,Location 2,119,Offer A|Offer C|Offer D|Offer F|Offer G|Offer J,Offer F,Offer F,2
2026-02,CPS,Tier A,Location 2,359,Offer A|Offer C|Offer E|Offer F|Offer G|Offer I|Offer J,,,308
2026-02,CPS,Tier A,Location 2,411,Offer A|Offer C|Offer E|Offer G|Offer I,Offer A|Offer C|Offer E|Offer G|Offer I,,242
2026-02,CPS,Tier A,Location 2,129,Offer A|Offer C|Offer F|Offer G|Offer H,Offer F,Offer F,115
2026-02,CPS,Tier A,Location 2,116,Offer A|Offer C|Offer F|Offer H|Offer J,Offer A|Offer J,Offer A,66
2026-02,CPS,Tier A,Location 2,252,Offer A|Offer C|Offer G|Offer H,,,28
2026-02,CPS,Tier A,Location 2,456,Offer A|Offer C|Offer G|Offer I,Offer A|Offer C|Offer G|Offer I,Offer A|Offer G|Offer I,334
2026-02,CPS,Tier A,Location 2,332,Offer A|Offer D,Offer A,,332
2026-02,CPS,Tier A,Location 2,350,Offer A|Offer D|Offer E|Offer G|Offer H,Offer A|Offer D|Offer E|Offer G,Offer D|Offer G,116
2026-02,CPS,Tier A,Location 2,203,Offer A|Offer D|Offer F,Offer A|Offer F,,61
2026-02,CPS,Tier A,Location 2,347,Offer A|Offer D|Offer G|Offer H,Offer H,Offer H,90
2026-02,CPS,Tier A,Location 2,119,Offer A|Offer D|Offer G|Offer H|Offer J,,,12
2026-02,CPS,Tier A,Location 2,343,Offer A|Offer D|Offer G|Offer J,,,47
2026-02,CPS,Tier A,Location 2,286,Offer A|Offer E|Offer F|Offer G|Offer I|Offer J,Offer A|Offer E|Offer F|Offer G|Offer I|Offer J,Offer J,38
2026-02,CPS,Tier A,Location 2,203,Offer A|Offer E|Offer H|Offer I,Offer A|Offer E|Offer H,Offer A|Offer E|Offer H,26
2026-02,CPS,Tier A,Location 2,343,Offer A|Offer I,Offer A|Offer I,,223
2026-02,CPS,Tier A,Location 2,478,Offer A|Offer J,Offer A|Offer J,,119
2026-02,CPS,Tier A,Location 2,102,Offer B,,,27
2026-02,CPS,Tier A,Location 2,411,Offer B,Offer B,,100
2026-02,CPS,Tier A,Location 2,102,Offer B|Offer C|Offer D|Offer E|Offer F|Offer H|Offer I,Offer C|Offer D|Offer E|Offer H|Offer I,Offer D|Offer I,18
2026-02,CPS,Tier A,Location 2,415,Offer B|Offer C|Offer E|Offer F|Offer G,Offer B|Offer C|Offer E,Offer B|Offer C|Offer E,309
2026-02,CPS,Tier A,Location 2,149,Offer B|Offer C|Offer E|Offer G|Offer I,Offer C|Offer G|Offer I,Offer C,9
2026-02,CPS,Tier A,Location 2,286,Offer B|Offer C|Offer G,Offer B|Offer C|Offer G,,19
2026-02,CPS,Tier A,Location 2,78,Offer B|Offer C|Offer H,Offer B|Offer C,,26
2026-02,CPS,Tier A,Location 2,478,Offer B|Offer D|Offer E|Offer F,Offer E|Offer F,Offer F,106
2026-02,CPS,Tier A,Location 2,350,Offer B|Offer D|Offer E|Offer F|Offer G|Offer I,Offer B|Offer E|Offer F|Offer I,Offer B|Offer E|Offer F|Offer I,76
2026-02,CPS,Tier A,Location 2,75,Offer B|Offer D|Offer E|Offer G|Offer H|Offer I,Offer E,Offer E,58
2026-02,CPS,Tier A,Location 2,145,Offer B|Offer E|Offer G|Offer J,Offer B|Offer E|Offer G,,9
2026-02,CPS,Tier A,Location 2,304,Offer B|Offer E|Offer I,Offer E,Offer E,9
2026-02,CPS,Tier A,Location 2,149,Offer B|Offer F|Offer G|Offer H,Offer F|Offer G,Offer F|Offer G,140
2026-02,CPS,Tier A,Location 2,456,Offer B|Offer F|Offer J,Offer B|Offer F,Offer B,93
2026-02,CPS,Tier A,Location 2,286,Offer B|Offer H,,,89
2026-02,CPS,Tier A,Location 2,119,Offer B|Offer H|Offer I,Offer B|Offer H|Offer I,Offer B,39
2026-02,CPS,Tier A,Location 2,78,Offer B|Offer J,,,15
2026-02,CPS,Tier A,Location 2,319,Offer C|Offer D|Offer E|Offer F|Offer G|Offer H,Offer C,Offer C,274
2026-02,CPS,Tier A,Location 2,286,Offer C|Offer D|Offer E|Offer I|Offer J,,,5
2026-02,CPS,Tier A,Location 2,350,Offer C|Offer D|Offer F|Offer I,,,53
2026-02,CPS,Tier A,Location 2,347,Offer C|Offer D|Offer G,Offer C|Offer D|Offer G,,130
2026-02,CPS,Tier A,Location 2,478,Offer C|Offer D|Offer H,Offer C|Offer D|Offer H,Offer C|Offer D|Offer H,75
2026-02,CPS,Tier A,Location 2,347,Offer C|Offer E|Offer F|Offer G|Offer H|Offer I,Offer C|Offer E|Offer F|Offer G|Offer H,Offer C|Offer E|Offer F|Offer G|Offer H,127
2026-02,CPS,Tier A,Location 2,286,Offer C|Offer E|Offer F|Offer G|Offer I,Offer C|Offer F,Offer F,135
2026-02,CPS,Tier A,Location 2,78,Offer C|Offer E|Offer G|Offer J,Offer C|Offer G|Offer J,,37
2026-02,CPS,Tier A,Location 2,257,Offer C|Offer F|Offer I,Offer C|Offer F|Offer I,,257
2026-02,CPS,Tier A,Location 2,415,Offer C|Offer F|Offer I,Offer I,,106
2026-02,CPS,Tier A,Location 2,203,Offer C|Offer G|Offer H,Offer H,Offer H,15
2026-02,CPS,Tier A,Location 2,145,Offer C|Offer I|Offer J,Offer J,,96
2026-02,CPS,Tier A,Location 2,158,Offer D|Offer E|Offer F,Offer E|Offer F,Offer F,29
2026-02,CPS,Tier A,Location 2,209,Offer E|Offer F|Offer G,Offer E|Offer F|Offer G,Offer F|Offer G,138
2026-02,CPS,Tier A,Location 2,411,Offer E|Offer F|Offer G|Offer H|Offer J,Offer F|Offer G|Offer H,Offer F|Offer G|Offer H,1
2026-02,CPS,Tier A,Location 2,102,Offer E|Offer F|Offer H,Offer E|Offer H,Offer E|Offer H,37
2026-02,CPS,Tier A,Location 2,391,Offer E|Offer I|Offer J,Offer J,,6
2026-02,CPS,Tier A,Location 2,116,Offer F,,,29
2026-02,CPS,Tier A,Location 2,252,Offer F|Offer H,Offer F|Offer H,,38
2026-02,CPS,Tier A,Location 2,119,Offer G|Offer H,,,18
2026-02,CPS,Tier A,Location 2,391,Offer G|Offer I,,,47
2026-02,CPS,Tier A,Location 2,119,Offer G|Offer I|Offer J,Offer G|Offer I|Offer J,,48
2026-02,CPS,Tier A,Location 2,75,Offer H,,,17
2026-02,CPS,Tier A,Location 2,456,Offer I,,,29
2026-02,CPS,Tier A,Location 2,116,Offer J,,,21
2026-02,CPS,Tier A,Location 2,411,Offer J,Offer J,,68
2026-02,CPS,Tier A,Location 3,265,Offer A|Offer B|Offer C|Offer D|Offer F|Offer G|Offer H,Offer B|Offer C|Offer G|Offer H,Offer B|Offer G|Offer H,80
2026-02,CPS,Tier A,Location 3,165,Offer A|Offer B|Offer C|Offer D|Offer G|Offer H|Offer J,Offer A|Offer B|Offer D|Offer J,,25
2026-02,CPS,Tier A,Location 3,58,Offer A|Offer B|Offer C|Offer D|Offer G|Offer I|Offer J,Offer A|Offer D|Offer J,Offer A|Offer D|Offer J,29
2026-02,CPS,Tier A,Location 3,376,Offer A|Offer B|Offer D|Offer E|Offer F|Offer H|Offer I,Offer E|Offer F,,122
2026-02,CPS,Tier A,Location 3,322,Offer A|Offer B|Offer D|Offer E|Offer G|Offer H,Offer B|Offer D|Offer E|Offer G|Offer H,Offer B|Offer D|Offer G,3
2026-02,CPS,Tier A,Location 3,319,Offer A|Offer B|Offer D|Offer E|Offer G|Offer H|Offer I,Offer A|Offer B|Offer D|Offer E|Offer G|Offer H,,231
2026-02,CPS,Tier A,Location 3,461,Offer A|Offer B|Offer D|Offer F|Offer H|Offer I|Offer J,Offer D|Offer I|Offer J,,253
2026-02,CPS,Tier A,Location 3,175,Offer A|Offer B|Offer E|Offer G|Offer H|Offer I|Offer J,Offer A|Offer B|Offer E|Offer G|Offer H,Offer E|Offer G|Offer H,29
2026-02,CPS,Tier A,Location 3,484,Offer A|Offer B|Offer E|Offer H,Offer B|Offer H,,265
2026-02,CPS,Tier A,Location 3,234,Offer A|Offer B|Offer F|Offer H,Offer A|Offer B|Offer F|Offer H,Offer A|Offer B|Offer F|Offer H,60
2026-02,CPS,Tier A,Location 3,398,Offer A|Offer B|Offer G,Offer B|Offer G,Offer B|Offer G,78
2026-02,CPS,Tier A,Location 3,270,Offer A|Offer B|Offer H|Offer I,,,270
2026-02,CPS,Tier A,Location 3,165,Offer A|Offer C|Offer D|Offer E|Offer F|Offer G|Offer I,,,7
2026-02,CPS,Tier A,Location 3,302,Offer A|Offer C|Offer D|Offer E|Offer F|Offer H|Offer I,Offer A|Offer C|Offer D|Offer F|Offer H,Offer A|Offer C,176
2026-02,CPS,Tier A,Location 3,265,Offer A|Offer C|Offer D|Offer E|Offer F|Offer I,Offer A,,173
2026-02,CPS,Tier A,Location 3,350,Offer A|Offer C|Offer D|Offer E|Offer F|Offer I|Offer J,Offer A|Offer C|Offer D|Offer E|Offer J,Offer C,192
2026-02,CPS,Tier A,Location 3,446,Offer A|Offer C|Offer D|Offer E|Offer G|Offer H,,,267
2026-02,CPS,Tier A,Location 3,234,Offer A|Offer C|Offer D|Offer G|Offer J,Offer C|Offer D|Offer G,,16
2026-02,CPS,Tier A,Location 3,234,Offer A|Offer C|Offer E|Offer G,Offer A|Offer C|Offer E|Offer G,,157
2026-02,CPS,Tier A,Location 3,200,Offer A|Offer C|Offer F|Offer G|Offer H|Offer I,Offer A|Offer C|Offer F|Offer H|Offer I,Offer A|Offer C|Offer F,82
2026-02,CPS,Tier A,Location 3,175,Offer A|Offer C|Offer F|Offer H,Offer A|Offer C|Offer F|Offer H,Offer A|Offer C|Offer F|Offer H,69
2026-02,CPS,Tier A,Location 3,322,Offer A|Offer D|Offer E|Offer F|Offer G|Offer I|Offer J,,,201
2026-02,CPS,Tier A,Location 3,376,Offer A|Offer D|Offer E|Offer F|Offer H|Offer J,Offer A|Offer D|Offer E|Offer F|Offer H,Offer D|Offer E|Offer H,109
2026-02,CPS,Tier A,Location 3,193,Offer A|Offer G,,,3
2026-02,CPS,Tier A,Location 3,484,Offer A|Offer H,Offer A|Offer H,Offer H,42
2026-02,CPS,Tier A,Location 3,184,Offer B,,,36
2026-02,CPS,Tier A,Location 3,165,Offer B,Offer B,Offer B,112
2026-02,CPS,Tier A,Location 3,265,Offer B|Offer C|Offer D,Offer C|Offer D,Offer D,12
2026-02,CPS,Tier A,Location 3,302,Offer B|Offer C|Offer D|Offer E|Offer F|Offer I|Offer J,,,126
2026-02,CPS,Tier A,Location 3,398,Offer B|Offer C|Offer D|Offer E|Offer F|Offer I|Offer J,Offer B|Offer C|Offer D|Offer F|Offer J,Offer D,133
2026-02,CPS,Tier A,Location 3,233,Offer B|Offer C|Offer E|Offer F|Offer G|Offer I|Offer J,Offer C|Offer J,Offer C,87
2026-02,CPS,Tier A,Location 3,175,Offer B|Offer C|Offer E|Offer J,,,3
2026-02,CPS,Tier A,Location 3,484,Offer B|Offer C|Offer E|Offer J,Offer B|Offer E,Offer B|Offer E,177
2026-02,CPS,Tier A,Location 3,200,Offer B|Offer C|Offer F|Offer H|Offer J,Offer C|Offer H,Offer C|Offer H,41
2026-02,CPS,Tier A,Location 3,350,Offer B|Offer C|Offer F|Offer I,,,158
2026-02,CPS,Tier A,Location 3,373,Offer B|Offer C|Offer G,Offer C,,234
2026-02,CPS,Tier A,Location 3,398,Offer B|Offer C|Offer I|Offer J,Offer B|Offer C|Offer I|Offer J,,54
2026-02,CPS,Tier A,Location 3,373,Offer B|Offer D|Offer E|Offer F|Offer G,,,139
2026-02,CPS,Tier A,Location 3,376,Offer B|Offer D|Offer E|Offer I,Offer E,Offer E,36
2026-02,CPS,Tier A,Location 3,446,Offer B|Offer D|Offer F|Offer G|Offer H|Offer I,,,51
2026-02,CPS,Tier A,Location 3,446,Offer B|Offer E,Offer B,,128
2026-02,CPS,Tier A,Location 3,469,Offer B|Offer E|Offer F|Offer H|Offer I|Offer J,Offer E,,276
2026-02,CPS,Tier A,Location 3,58,Offer B|Offer F,Offer B|Offer F,,28
2026-02,CPS,Tier A,Location 3,469,Offer B|Offer F|Offer G|Offer H,Offer B|Offer F|Offer G|Offer H,Offer B|Offer F|Offer G|Offer H,19
2026-02,CPS,Tier A,Location 3,196,Offer B|Offer G,Offer B|Offer G,Offer G,100
2026-02,CPS,Tier A,Location 3,376,Offer B|Offer H|Offer I,,,53
2026-02,CPS,Tier A,Location 3,71,Offer B|Offer I|Offer J,Offer B,,5
2026-02,CPS,Tier A,Location 3,200,Offer B|Offer I|Offer J,Offer B|Offer I|Offer J,Offer B|Offer I|Offer J,24
2026-02,CPS,Tier A,Location 3,359,Offer C,,,179
2026-02,CPS,Tier A,Location 3,200,Offer C,Offer C,Offer C,38
2026-02,CPS,Tier A,Location 3,322,Offer C|Offer D,,,117
2026-02,CPS,Tier A,Location 3,302,Offer C|Offer D|Offer E|Offer F|Offer I|Offer J,Offer C|Offer D|Offer E|Offer I|Offer J,Offer E|Offer I,302
2026-02,CPS,Tier A,Location 3,461,Offer C|Offer D|Offer F|Offer G|Offer I,Offer F|Offer G,,208
2026-02,CPS,Tier A,Location 3,494,Offer C|Offer D|Offer G,,,95
2026-02,CPS,Tier A,Location 3,58,Offer C|Offer D|Offer G|Offer H|Offer I|Offer J,Offer I|Offer J,Offer I,1
2026-02,CPS,Tier A,Location 3,184,Offer C|Offer D|Offer G|Offer I|Offer J,Offer D|Offer G|Offer I|Offer J,,18
2026-02,CPS,Tier A,Location 3,184,Offer C|Offer D|Offer I,Offer C|Offer I,Offer C|Offer I,18
2026-02,CPS,Tier A,Location 3,403,Offer C|Offer D|Offer I|Offer J,Offer C,,403
2026-02,CPS,Tier A,Location 3,479,Offer C|Offer E|Offer F|Offer H|Offer I,Offer C,,61
2026-02,CPS,Tier A,Location 3,193,Offer C|Offer E|Offer G|Offer H|Offer I,,,190
2026-02,CPS,Tier A,Location 3,394,Offer D,,,394
